,Lot_Name,Enum,Filename,Lot_Samples_No,Accuracy
0,LAXDMC,1,Latest_Test_2025-03-02.csv,5056,0.31447784810126583
1,LAXCSN,0,Latest_Test_2025-03-02.csv,4079,0.8288796273596469
2,OAKTPC,2,Latest_Test_2025-03-02.csv,3,0.0
3,TACTHG,3,Latest_Test_2025-03-02.csv,1,0.0
4,LAXDMC,1,Latest_Test_2025-03-03.csv,4927,0.31987010351126444
5,LAXCSN,0,Latest_Test_2025-03-03.csv,4044,0.8264094955489614
6,OAKTPC,2,Latest_Test_2025-03-03.csv,3,0.0
7,TACTHG,3,Latest_Test_2025-03-03.csv,1,0.0
8,LAXDMC,1,Latest_Test_2025-03-04.csv,4858,0.31906134211609716
9,LAXCSN,0,Latest_Test_2025-03-04.csv,4080,0.8129901960784314
10,OAKTPC,2,Latest_Test_2025-03-04.csv,3,0.0
11,TACTHG,3,Latest_Test_2025-03-04.csv,1,0.0
12,LAXDMC,1,Latest_Test_2025-03-05.csv,4830,0.31801242236024846
13,LAXCSN,0,Latest_Test_2025-03-05.csv,4072,0.8116404715127702
14,OAKTPC,2,Latest_Test_2025-03-05.csv,3,0.0
15,TACTHG,3,Latest_Test_2025-03-05.csv,1,0.0
16,LAXDMC,1,Latest_Test_2025-03-06.csv,5003,0.3132120727563462
17,LAXCSN,0,Latest_Test_2025-03-06.csv,4196,0.800047664442326
18,OAKTPC,2,Latest_Test_2025-03-06.csv,3,0.0
19,TACTHG,3,Latest_Test_2025-03-06.csv,1,0.0
20,LAXDMC,1,Latest_Test_2025-03-07.csv,5028,0.3124502784407319
21,LAXCSN,0,Latest_Test_2025-03-07.csv,4230,0.799290780141844
22,OAKTPC,2,Latest_Test_2025-03-07.csv,3,0.0
23,TACTHG,3,Latest_Test_2025-03-07.csv,1,0.0
24,LAXDMC,1,Latest_Test_2025-03-08.csv,5329,0.3122537061362357
25,LAXCSN,0,Latest_Test_2025-03-08.csv,4422,0.7919493441881501
26,OAKTPC,2,Latest_Test_2025-03-08.csv,3,0.0
27,TACTHG,3,Latest_Test_2025-03-08.csv,1,0.0
28,LAXCSN,0,Latest_Test_2025-03-09.csv,4612,0.7803555941023417
29,LAXDMC,1,Latest_Test_2025-03-09.csv,5494,0.30942846741900254
30,OAKTPC,2,Latest_Test_2025-03-09.csv,3,0.0
31,TACTHG,3,Latest_Test_2025-03-09.csv,1,0.0
32,LAXDMC,1,Latest_Test_2025-03-10.csv,5452,0.3112619222303742
33,LAXCSN,0,Latest_Test_2025-03-10.csv,4565,0.7851040525739321
34,OAKTPC,2,Latest_Test_2025-03-10.csv,3,0.0
35,TACTHG,3,Latest_Test_2025-03-10.csv,1,0.0
