Date,LOT,Predicted_Pickups,Predicted_Returns
2024-10-31,0,77252,260
2024-11-01,0,76252,218
2024-11-02,0,75261,10
2024-11-04,0,73304,194
2024-11-05,0,72338,295
2024-11-06,0,71381,242
2024-11-07,0,70431,162
2024-11-08,0,69490,192
2024-11-09,0,68557,26
2024-11-11,0,66717,254
2024-11-12,0,65808,338
2024-11-13,0,64908,245
2024-11-14,0,64016,159
2024-11-15,0,63132,162
2024-11-16,0,62256,17
2024-11-18,0,60527,264
2024-11-19,0,59675,365
2024-11-20,0,58831,303
2024-11-21,0,57994,217
2024-11-22,0,57165,121
2024-11-23,0,56344,43
2024-11-25,0,54725,197
2024-11-26,0,53927,266
2024-11-27,0,53137,246
2024-11-29,0,51579,16
2024-11-30,0,50811,18
2024-12-02,0,49298,329
2024-12-03,0,48552,167
2024-12-04,0,47814,220
2024-12-05,0,47084,222
2024-12-06,0,46360,150
2024-12-07,0,45644,19
2024-12-09,0,44234,147
2024-12-10,0,43539,362
2024-12-11,0,42852,253
2024-12-12,0,42172,213
2024-12-13,0,41499,185
2024-12-14,0,40833,14
2024-12-16,0,39521,351
2024-12-17,0,38876,143
2024-12-18,0,38238,204
2024-12-19,0,37607,261
2024-12-20,0,36982,217
2024-12-21,0,36364,59
2024-12-22,0,35753,2
2024-12-23,0,35149,201
2024-12-24,0,34551,81
2024-12-26,0,33376,181
2024-12-27,0,32799,244
2024-12-28,0,32228,41
2024-12-30,0,31105,240
2024-12-31,0,30553,58
2025-01-02,0,29469,169
2025-01-03,0,28937,59
2023-09-06,0,1677336,1
2023-09-07,0,1669744,49
2023-09-08,0,1662174,30
2023-09-11,0,1639602,36
2023-09-12,0,1632123,146
2023-09-13,0,1624667,25
2023-09-14,0,1617233,14
2023-09-15,0,1609822,33
2023-09-16,0,1602434,8
2023-09-18,0,1587725,50
2023-09-19,0,1580404,31
2023-09-20,0,1573105,15
2023-09-21,0,1565829,29
2023-09-22,0,1558575,14
2023-09-23,0,1551343,5
2023-09-25,0,1536947,16
2023-09-26,0,1529782,4
2023-09-27,0,1522639,16
2023-09-28,0,1515519,52
2023-09-29,0,1508420,16
2023-10-02,0,1487257,38
2023-10-03,0,1480247,35
2023-10-04,0,1473258,40
2023-10-05,0,1466292,57
2023-10-06,0,1459347,14
2023-10-07,0,1452424,1
2023-10-09,0,1438644,17
2023-10-10,0,1431786,9
2023-10-11,0,1424950,48
2023-10-12,0,1418136,64
2023-10-13,0,1411343,33
2023-10-14,0,1404572,1
2023-10-16,0,1391095,40
2023-10-17,0,1384388,52
2023-10-18,0,1377703,8
2023-10-19,0,1371040,103
2023-10-20,0,1364397,19
2023-10-21,0,1357776,5
2023-10-23,0,1344599,47
2023-10-24,0,1338041,48
2023-10-25,0,1331506,34
2023-10-26,0,1324991,59
2023-10-27,0,1318497,80
2023-10-28,0,1312025,22
2023-10-30,0,1299143,85
2023-10-31,0,1292734,107
2023-11-01,0,1286346,30
2023-11-02,0,1279979,121
2023-11-03,0,1273632,39
2023-11-04,0,1267306,8
2023-11-06,0,1254718,3
2023-11-07,0,1248455,12
2023-11-08,0,1242212,3
2023-11-09,0,1235990,42
2023-11-10,0,1229789,2
2023-11-13,0,1211310,125
2023-11-14,0,1205191,72
2023-11-15,0,1199093,37
2023-11-16,0,1193015,143
2023-11-17,0,1186958,31
2023-11-18,0,1180921,6
2023-11-20,0,1168908,61
2023-11-21,0,1162932,8
2023-11-22,0,1156976,113
2023-11-23,0,1151041,5
2023-11-24,0,1145126,24
2023-11-25,0,1139231,2
2023-11-27,0,1127501,64
2023-11-28,0,1121666,29
2023-11-29,0,1115851,87
2023-11-30,0,1110056,39
2023-12-01,0,1104281,27
2023-12-02,0,1098526,71
2023-12-04,0,1087076,41
2023-12-05,0,1081381,124
2023-12-06,0,1075705,133
2023-12-07,0,1070049,74
2023-12-08,0,1064413,21
2023-12-11,0,1047622,17
2023-12-12,0,1042065,10
2023-12-13,0,1036527,37
2023-12-14,0,1031008,117
2023-12-15,0,1025509,104
2023-12-16,0,1020029,5
2023-12-18,0,1009128,39
2023-12-19,0,1003706,48
2023-12-20,0,998304,122
2023-12-21,0,992921,62
2023-12-22,0,987557,16
2023-12-23,0,982213,1
2023-12-26,0,966294,59
2023-12-27,0,961026,84
2023-12-28,0,955777,178
2023-12-29,0,950547,46
2024-01-02,0,929816,64
2024-01-03,0,924681,122
2024-01-04,0,919564,143
2024-01-05,0,914466,80
2024-01-08,0,899284,120
2024-01-09,0,894261,106
2024-01-10,0,889256,61
2024-01-11,0,884270,8
2024-01-12,0,879302,70
2024-01-13,0,874353,42
2024-01-15,0,864510,147
2024-01-16,0,859616,161
2024-01-17,0,854741,41
2024-01-18,0,849883,94
2024-01-19,0,845045,91
2024-01-20,0,840224,14
2024-01-22,0,830637,108
2024-01-23,0,825871,76
2024-01-24,0,821123,113
2024-01-25,0,816393,283
2024-01-26,0,811681,381
2024-01-27,0,806987,15
2024-01-29,0,797653,170
2024-01-30,0,793013,166
2024-01-31,0,788391,87
2024-02-01,0,783787,220
2024-02-02,0,779200,195
2024-02-03,0,774631,14
2024-02-05,0,765547,70
2024-02-06,0,761031,74
2024-02-07,0,756533,121
2024-02-08,0,752053,309
2024-02-09,0,747590,153
2024-02-10,0,743145,14
2024-02-12,0,734307,155
2024-02-13,0,729914,184
2024-02-14,0,725538,168
2024-02-15,0,721180,264
2024-02-16,0,716839,211
2024-02-17,0,712516,18
2024-02-19,0,703920,62
2024-02-20,0,699649,126
2024-02-21,0,695394,153
2024-02-22,0,691156,213
2024-02-23,0,686936,239
2024-02-24,0,682732,39
2024-02-26,0,674377,116
2024-02-27,0,670224,119
2024-02-28,0,666089,285
2024-02-29,0,661970,263
2024-03-01,0,657868,253
2024-03-02,0,653783,14
2024-03-04,0,645664,61
2024-03-05,0,641629,179
2024-03-06,0,637611,235
2024-03-07,0,633609,203
2024-03-08,0,629625,121
2024-03-09,0,625656,45
2024-03-11,0,617770,70
2024-03-12,0,613851,119
2024-03-13,0,609949,97
2024-03-14,0,606063,59
2024-03-15,0,602194,55
2024-03-16,0,598340,52
2024-03-18,0,590683,35
2024-03-19,0,586879,37
2024-03-20,0,583091,10
2024-03-21,0,579319,48
2024-03-22,0,575563,64
2024-03-23,0,571824,39
2024-03-25,0,564392,109
2024-03-26,0,560701,51
2024-03-27,0,557025,217
2024-03-28,0,553366,219
2024-03-29,0,549722,110
2024-03-30,0,546094,12
2024-04-01,0,538886,214
2024-04-02,0,535305,117
2024-04-03,0,531740,120
2024-04-04,0,528191,49
2024-04-05,0,524658,257
2024-04-06,0,521140,14
2024-04-08,0,514151,148
2024-04-09,0,510680,204
2024-04-10,0,507225,292
2024-04-11,0,503784,151
2024-04-12,0,500360,116
2024-04-13,0,496950,4
2024-04-15,0,490178,95
2024-04-16,0,486814,190
2024-04-17,0,483466,107
2024-04-18,0,480133,137
2024-04-19,0,476815,269
2024-04-20,0,473513,27
2024-04-22,0,466953,124
2024-04-23,0,463696,113
2024-04-24,0,460453,148
2024-04-25,0,457226,344
2024-04-26,0,454013,209
2024-04-27,0,450816,5
2024-04-29,0,444466,76
2024-04-30,0,441313,138
2024-05-01,0,438174,164
2024-05-02,0,435051,310
2024-05-03,0,431942,77
2024-05-04,0,428848,14
2024-05-06,0,422704,84
2024-05-07,0,419653,141
2024-05-08,0,416618,71
2024-05-09,0,413596,184
2024-05-10,0,410590,54
2024-05-11,0,407597,1
2024-05-13,0,401656,73
2024-05-14,0,398707,130
2024-05-15,0,395772,261
2024-05-16,0,392851,244
2024-05-17,0,389945,98
2024-05-18,0,387052,43
2024-05-20,0,381310,60
2024-05-21,0,378460,70
2024-05-22,0,375625,140
2024-05-23,0,372803,130
2024-05-24,0,369995,87
2024-05-25,0,367201,10
2024-05-28,0,358903,90
2024-05-29,0,356165,163
2024-05-30,0,353440,163
2024-05-31,0,350729,109
2024-06-01,0,348032,14
2024-06-03,0,342679,82
2024-06-04,0,340023,33
2024-06-05,0,337380,37
2024-06-06,0,334751,87
2024-06-07,0,332136,55
2024-06-08,0,329534,3
2024-06-10,0,324370,45
2024-06-11,0,321808,93
2024-06-12,0,319260,134
2024-06-13,0,316725,92
2024-06-14,0,314203,53
2024-06-15,0,311694,2
2024-06-17,0,306716,86
2024-06-18,0,304247,98
2024-06-19,0,301791,52
2024-06-20,0,299348,82
2024-06-21,0,296918,35
2024-06-22,0,294502,68
2024-06-24,0,289707,128
2024-06-25,0,287329,102
2024-06-26,0,284963,86
2024-06-27,0,282611,115
2024-06-28,0,280271,99
2024-06-29,0,277945,61
2024-07-01,0,273329,24
2024-07-02,0,271040,63
2024-07-03,0,268764,37
2024-07-04,0,266501,3
2024-07-06,0,262011,8
2024-07-08,0,257572,57
2024-07-09,0,255371,93
2024-07-10,0,253182,64
2024-07-11,0,251006,34
2024-07-12,0,248842,115
2024-07-13,0,246690,40
2024-07-15,0,242424,78
2024-07-16,0,240308,64
2024-07-17,0,238206,56
2024-07-18,0,236115,63
2024-07-19,0,234036,21
2024-07-20,0,231969,8
2024-07-22,0,227872,34
2024-07-23,0,225841,28
2024-07-24,0,223823,60
2024-07-25,0,221816,57
2024-07-26,0,219821,129
2024-07-27,0,217837,10
2024-07-29,0,213906,109
2024-07-30,0,211958,99
2024-07-31,0,210022,148
