,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,59,70
2025-10-03,,170,179
2025-10-04,,207,217
2025-10-05,,238,249
2025-10-06,,259,272
2025-10-07,,273,287
2025-10-08,,277,294
2025-10-09,,275,293
2025-10-10,,270,290
2025-10-11,,261,282
2025-10-12,,246,269
2025-10-13,,224,249
2025-10-14,,1054,1287
2025-10-15,,10,1230
2025-10-16,,7,12
2025-10-17,,5,6
2025-10-18,,10,9
2025-10-19,,59,41
2025-10-20,,91,83
2025-10-21,,160,159
2025-10-22,,277,274
2025-10-23,,447,444
2025-10-24,,586,584
2025-10-25,,590,587
2025-10-26,,367,358
2025-10-27,,372,364
2025-10-28,,292,284
2025-10-29,,286,280
2025-10-30,,370,366
2025-10-31,,463,459
2025-11-01,,583,578
2025-11-02,,580,575
2025-11-03,,571,566
2025-11-04,,532,527
2025-11-05,,592,586
2025-11-06,,686,681
2025-11-07,,592,588
2025-11-08,,596,590
2025-11-09,,593,587
2025-11-10,,588,583
2025-11-11,,666,660
2025-11-12,,477,470
2025-11-13,,465,459
2025-11-14,,546,541
2025-11-15,,509,549
2025-11-16,,502,498
2025-11-17,,491,488
2025-11-18,,745,741
2025-11-19,,484,480
2025-11-20,,291,287
2025-11-21,,382,325
2025-11-22,,413,412
2025-11-23,,409,408
2025-11-24,,407,405
2025-11-25,,504,502
2025-11-26,,446,441
2025-11-27,,359,356
2025-11-28,,373,369
2025-11-29,,409,406
2025-11-30,,431,428
2025-12-01,,461,459
2025-12-02,,702,699
2025-12-03,,735,732
2025-12-04,,732,731
2025-12-05,,843,827
2025-12-06,,770,769
2025-12-07,,741,740
2025-12-08,,712,711
2025-12-09,,733,731
2025-12-10,,489,487
2025-12-11,,457,455
2025-12-12,,425,423
2025-12-13,,392,390
2025-12-14,,360,358
2025-12-15,,327,326
2025-12-16,,295,294
2025-12-17,,262,261
2025-12-18,,230,229
2025-12-19,,197,197
2025-12-20,,165,164
2025-12-21,,133,132
2025-12-22,,100,100
2025-12-23,,68,68
