Date,LOT,Predicted_Pickups,Predicted_Returns
2024-12-16,0,300,7
2024-12-17,0,296,2
2024-12-18,0,292,2
2024-12-20,0,283,6
2024-12-23,0,271,2
2024-12-26,0,259,2
2024-12-27,0,255,2
2025-01-09,0,208,2
2025-01-10,0,205,4
2025-01-22,0,168,3
2024-09-12,0,932,1
2024-09-13,0,922,3
2024-09-14,0,913,5
2024-09-17,0,886,5
2024-09-18,0,877,2
2024-09-19,0,868,1
2024-09-20,0,860,3
2024-09-23,0,833,3
2024-09-24,0,825,1
2024-09-26,0,808,1
2024-10-02,0,758,2
2024-10-03,0,750,8
2024-10-04,0,742,3
2024-10-08,0,711,1
2024-10-09,0,703,2
2024-10-10,0,696,6
2024-10-16,0,651,7
2024-10-17,0,644,1
2024-10-18,0,636,6
2024-10-22,0,608,1
2024-11-05,0,516,2
2024-11-06,0,509,3
2024-11-09,0,491,1
2024-11-12,0,473,2
2024-11-13,0,467,6
2024-11-18,0,439,1
2024-11-19,0,433,1
2024-11-20,0,428,3
2024-11-23,0,411,2
2024-11-25,0,401,2
2024-11-26,0,396,2
2024-11-29,0,380,6
2024-12-02,0,365,4
2024-12-03,0,360,1
2024-12-10,0,327,5
2025-01-03,0,229,1
2025-01-15,0,189,3
2025-02-07,0,126,41
2025-02-10,0,119,16
2025-02-12,0,115,51
2025-02-13,0,113,48
2025-02-11,0,117,17
2025-02-21,0,96,65
2025-02-27,0,86,24
2025-03-06,0,74,25
2025-03-07,0,73,36
2025-03-14,0,63,13
2025-02-28,0,84,4
2025-03-28,0,46,32
2025-04-03,0,41,50
2025-04-09,0,36,63
2025-04-14,0,32,36
2025-03-31,0,43,24
2025-04-21,0,28,56
2025-04-30,0,24,94
2025-04-19,0,29,32
2025-04-29,0,25,24
2025-06-03,0,20,71
2025-05-27,0,20,42
2025-05-23,0,20,31
2025-05-28,0,20,148
2025-06-10,0,21,48
2025-06-20,0,23,68
2025-07-25,0,32,36
2025-07-08,0,27,42
2025-07-23,0,31,14
2025-07-28,0,33,18
2025-08-15,0,38,40
2025-07-16,0,29,14
2025-07-30,0,33,26
2025-09-02,0,41,101
2025-07-21,0,31,6
2025-08-13,0,37,98
2025-08-28,0,40,43
2025-08-14,0,37,26
2025-08-19,0,38,73
2025-07-02,0,25,6
2025-07-03,0,26,4
2025-07-15,0,29,4
2025-08-04,0,35,6
2025-09-13,0,41,11
2025-10-16,0,34,10
