,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,2,3
2025-10-03,,13,13
2025-10-04,,16,16
2025-10-05,,19,19
2025-10-06,,22,22
2025-10-07,,25,25
2025-10-08,,29,29
2025-10-09,,33,33
2025-10-10,,37,37
2025-10-11,,41,41
2025-10-12,,46,46
2025-10-13,,50,50
2025-10-14,,55,55
2025-10-15,,60,60
2025-10-16,,66,66
2025-10-17,,72,72
2025-10-18,,78,78
2025-10-19,,84,84
2025-10-20,,90,90
2025-10-21,,96,97
2025-10-22,,103,103
2025-10-23,,110,110
2025-10-24,,117,117
2025-10-25,,58,52
2025-10-26,,60,60
2025-10-27,,61,61
2025-10-28,,62,62
2025-10-29,,63,63
2025-10-30,,65,64
2025-10-31,,66,66
2025-11-01,,67,67
2025-11-02,,68,68
2025-11-03,,69,69
2025-11-04,,70,70
2025-11-05,,71,70
2025-11-06,,71,71
2025-11-07,,72,72
2025-11-08,,72,72
2025-11-09,,73,73
2025-11-10,,74,73
2025-11-11,,73,73
2025-11-12,,47,60
2025-11-13,,47,46
2025-11-14,,47,46
2025-11-15,,47,47
2025-11-16,,48,47
2025-11-17,,48,47
2025-11-18,,48,48
2025-11-19,,62,82
2025-11-20,,61,60
2025-11-21,,60,59
2025-11-22,,59,58
2025-11-23,,58,57
2025-11-24,,57,56
2025-11-25,,32,70
2025-11-26,,33,32
2025-11-27,,33,33
2025-11-28,,34,33
2025-11-29,,34,34
2025-11-30,,34,34
2025-12-01,,35,34
2025-12-02,,23,23
2025-12-03,,23,22
2025-12-04,,23,22
2025-12-05,,23,22
2025-12-06,,23,22
2025-12-07,,23,23
2025-12-08,,23,23
2025-12-09,,24,23
2025-12-10,,22,33
2025-12-11,,21,32
2025-12-12,,21,31
2025-12-13,,21,31
2025-12-14,,20,30
2025-12-15,,20,30
2025-12-16,,19,29
2025-12-17,,19,29
2025-12-18,,19,28
2025-12-19,,18,28
2025-12-20,,18,27
2025-12-21,,17,27
2025-12-22,,17,26
2025-12-23,,17,26
