Date,LOT,Predicted_Pickups,Predicted_Returns
2024-12-31,0,5082,42
2025-01-02,0,5265,113
2025-01-03,0,5354,75
2025-01-04,0,5441,13
2025-01-06,0,5611,159
2025-01-07,0,5694,183
2025-01-08,0,5775,101
2025-01-09,0,5854,59
2025-01-10,0,5932,120
2025-01-11,0,6009,22
2025-01-13,0,6158,156
2025-01-14,0,6230,239
2025-01-15,0,6301,231
2025-01-16,0,6370,126
2025-01-17,0,6437,88
2025-01-18,0,6504,11
2025-01-20,0,6632,109
2025-01-21,0,6694,196
2025-01-22,0,6755,175
2025-01-23,0,6814,147
2025-01-24,0,6872,177
2025-01-25,0,6929,59
2025-01-27,0,7038,171
2025-01-28,0,7090,92
2025-01-29,0,7141,52
2025-01-30,0,7191,178
2025-02-03,0,7377,291
2023-04-11,0,-779218,140
2023-04-12,0,-776179,94
2023-04-13,0,-773147,39
2023-04-14,0,-770123,92
2023-04-15,0,-767106,11
2023-04-17,0,-761096,43
2023-04-18,0,-758103,97
2023-04-19,0,-755117,124
2023-04-20,0,-752139,105
2023-04-21,0,-749169,43
2023-04-22,0,-746207,14
2023-04-24,0,-740304,106
2023-04-25,0,-737365,25
2023-04-26,0,-734433,112
2023-04-27,0,-731508,125
2023-04-28,0,-728591,57
2023-04-29,0,-725682,18
2023-05-01,0,-719886,118
2023-05-02,0,-717000,114
2023-05-03,0,-714121,28
2023-05-04,0,-711250,29
2023-05-05,0,-708386,124
2023-05-08,0,-699839,62
2023-05-09,0,-697006,182
2023-05-10,0,-694179,161
2023-05-11,0,-691360,185
2023-05-12,0,-688549,79
2023-05-15,0,-680160,284
2023-05-16,0,-677378,301
2023-05-17,0,-674604,208
2023-05-18,0,-671837,212
2023-05-19,0,-669078,224
2023-05-20,0,-666326,5
2023-05-22,0,-660844,156
2023-05-23,0,-658114,203
2023-05-24,0,-655392,176
2023-05-25,0,-652677,236
2023-05-26,0,-649969,77
2023-05-27,0,-647268,2
2023-05-29,0,-641889,44
2023-05-30,0,-639211,182
2023-05-31,0,-636539,131
2023-06-01,0,-633875,77
2023-06-02,0,-631219,57
2023-06-03,0,-628569,42
2023-06-05,0,-623292,45
2023-06-06,0,-620664,133
2023-06-07,0,-618044,114
2023-06-08,0,-615430,75
2023-06-09,0,-612824,37
2023-06-10,0,-610225,30
2023-06-12,0,-605048,128
2023-06-13,0,-602471,365
2023-06-14,0,-599901,223
2023-06-15,0,-597337,210
2023-06-16,0,-594781,120
2023-06-17,0,-592232,7
2023-06-19,0,-587156,93
2023-06-20,0,-584628,163
2023-06-21,0,-582108,160
2023-06-22,0,-579594,303
2023-06-23,0,-577088,268
2023-06-24,0,-574588,8
2023-06-26,0,-569610,132
2023-06-27,0,-567132,199
2023-06-28,0,-564661,132
2023-06-29,0,-562196,148
2023-06-30,0,-559739,252
2023-07-01,0,-557289,28
2023-07-03,0,-552409,271
2023-07-06,0,-545141,225
2023-07-07,0,-542733,520
2023-07-08,0,-540331,134
2023-07-10,0,-535548,265
2023-07-11,0,-533167,245
2023-07-12,0,-530793,359
2023-07-13,0,-528426,120
2023-07-14,0,-526065,71
2023-07-17,0,-519025,197
2023-07-18,0,-516691,97
2023-07-19,0,-514365,28
2023-07-20,0,-512046,130
2023-07-21,0,-509733,49
2023-07-22,0,-507427,12
2023-07-24,0,-502835,205
2023-07-25,0,-500549,100
2023-07-26,0,-498270,183
2023-07-27,0,-495998,142
2023-07-28,0,-493732,90
2023-07-29,0,-491474,37
2023-07-31,0,-486976,118
2023-08-01,0,-484737,226
2023-08-02,0,-482505,179
2023-08-03,0,-480280,4
2023-08-04,0,-478061,78
2023-08-05,0,-475849,5
2023-08-07,0,-471444,91
2023-08-08,0,-469252,162
2023-08-09,0,-467066,204
2023-08-10,0,-464887,145
2023-08-11,0,-462714,74
2023-08-14,0,-456236,556
2023-08-15,0,-454090,366
2023-08-16,0,-451950,155
2023-08-17,0,-449817,141
2023-08-18,0,-447690,121
2023-08-19,0,-445570,1
2023-08-21,0,-441349,179
2023-08-22,0,-439248,277
2023-08-23,0,-437153,143
2023-08-24,0,-435066,115
2023-08-25,0,-432984,80
2023-08-26,0,-430909,12
2023-08-28,0,-426778,205
2023-08-29,0,-424723,185
2023-08-30,0,-422673,143
2023-08-31,0,-420630,236
2023-09-01,0,-418594,168
2023-09-02,0,-416563,15
2023-09-05,0,-410511,287
2023-09-06,0,-408506,204
2023-09-07,0,-406507,190
2023-09-08,0,-404515,296
2023-09-09,0,-402529,18
2023-09-11,0,-398576,313
2023-09-12,0,-396609,432
2023-09-13,0,-394648,149
2023-09-14,0,-392693,208
2023-09-15,0,-390745,191
2023-09-16,0,-388802,12
2023-09-18,0,-384937,175
2023-09-19,0,-383013,174
2023-09-20,0,-381096,113
2023-09-21,0,-379185,153
2023-09-22,0,-377280,91
2023-09-23,0,-375381,24
