,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,119,99
2025-10-03,,499,478
2025-10-04,,692,681
2025-10-05,,763,750
2025-10-06,,835,823
2025-10-07,,1026,1015
2025-10-08,,949,942
2025-10-09,,928,918
2025-10-10,,1150,1120
2025-10-11,,1097,1079
2025-10-12,,878,865
2025-10-13,,936,924
2025-10-14,,954,944
2025-10-15,,1278,1270
2025-10-16,,1459,1451
2025-10-17,,1801,1791
2025-10-18,,2106,2098
2025-10-19,,2055,2045
2025-10-20,,2014,2006
2025-10-21,,2262,2253
2025-10-22,,1793,1784
2025-10-23,,1228,1217
2025-10-24,,1299,1286
2025-10-25,,1278,1267
2025-10-26,,941,929
2025-10-27,,936,926
2025-10-28,,749,737
2025-10-29,,700,691
2025-10-30,,779,771
2025-10-31,,914,906
2025-11-01,,909,899
2025-11-02,,814,802
2025-11-03,,816,805
2025-11-04,,907,896
2025-11-05,,791,782
2025-11-06,,709,697
2025-11-07,,832,818
2025-11-08,,738,719
2025-11-09,,644,627
2025-11-10,,684,669
2025-11-11,,815,806
2025-11-12,,849,845
2025-11-13,,904,901
2025-11-14,,1163,1158
2025-11-15,,1258,1252
2025-11-16,,1240,1234
2025-11-17,,1222,1216
2025-11-18,,1159,1153
2025-11-19,,988,982
2025-11-20,,819,816
2025-11-21,,972,968
2025-11-22,,946,939
2025-11-23,,942,934
2025-11-24,,941,934
2025-11-25,,981,974
2025-11-26,,826,820
2025-11-27,,800,794
2025-11-28,,925,916
2025-11-29,,957,949
2025-11-30,,1177,1170
2025-12-01,,1205,1199
2025-12-02,,1369,1366
2025-12-03,,1329,1325
2025-12-04,,1404,1401
2025-12-05,,1456,1453
2025-12-06,,1517,1739
2025-12-07,,1015,1012
2025-12-08,,1007,1005
2025-12-09,,677,676
2025-12-10,,743,740
2025-12-11,,1005,1003
2025-12-12,,904,902
2025-12-13,,804,802
2025-12-14,,703,701
2025-12-15,,602,600
2025-12-16,,501,500
2025-12-17,,400,399
2025-12-18,,299,299
2025-12-19,,199,198
2025-12-20,,98,98
2025-12-21,,3,3
2025-12-22,,104,103
2025-12-23,,205,204
