Date,LOT,Predicted_Pickups,Predicted_Returns
2024-12-10,0,78,4
2024-12-11,0,77,2
2024-12-13,0,76,4
2025-01-09,0,56,2
2025-01-13,0,53,9
2025-01-14,0,52,32
2024-09-19,0,170,1
2024-09-23,0,164,1
2024-09-24,0,163,1
2024-09-25,0,162,1
2024-09-27,0,159,2
2024-10-04,0,149,1
2024-10-15,0,135,1
2024-10-16,0,134,4
2024-10-18,0,132,5
2024-10-25,0,124,3
2024-10-29,0,119,1
2024-11-01,0,116,2
2024-11-05,0,111,3
2024-11-08,0,108,6
2024-11-12,0,104,3
2024-11-19,0,97,2
2025-02-19,0,33,33
2025-02-27,0,29,15
2025-03-20,0,22,143
2025-03-18,0,22,14
2025-03-17,0,23,18
2025-04-16,0,14,54
2025-04-17,0,14,38
2025-06-20,0,6,3
2025-07-15,0,5,4
2025-07-21,0,5,16
2025-07-28,0,5,13
2025-07-31,0,5,61
2025-08-04,0,6,41
2025-07-09,0,5,2
2025-08-07,0,6,2
