Date,Predicted_Pickups,Predicted_Returns
2024-12-10,5,4
2024-12-11,0,2
2024-12-13,1,4
2025-01-09,6,2
2025-01-13,1,9
2025-01-14,4,32
2024-09-19,5,1
2024-09-23,7,1
2024-09-24,8,1
2024-09-25,4,1
2024-09-27,5,2
2024-10-04,5,1
2024-10-15,3,1
2024-10-16,4,4
2024-10-18,3,5
2024-10-25,2,3
2024-10-29,1,1
2024-11-01,2,2
2024-11-05,2,3
2024-11-08,2,6
2024-11-12,2,3
2024-11-19,2,2
2025-02-19,42,33
2025-02-27,3,15
2025-03-20,37,143
2025-03-18,14,14
2025-03-17,42,18
2025-04-16,120,54
2025-04-17,88,38
2025-06-20,164,3
2025-07-15,194,3
2025-07-21,165,14
2025-07-28,125,10
2025-07-31,151,7
2025-08-04,82,7
