,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,2,3
2025-10-03,,7,6
2025-10-04,,9,9
2025-10-05,,11,11
2025-10-06,,13,12
2025-10-07,,14,14
2025-10-08,,16,15
2025-10-09,,17,17
2025-10-10,,18,18
2025-10-11,,20,20
2025-10-12,,21,21
2025-10-13,,23,22
2025-10-14,,24,24
2025-10-15,,25,25
2025-10-16,,27,27
2025-10-17,,28,29
2025-10-18,,30,30
2025-10-19,,32,32
2025-10-20,,33,33
2025-10-21,,35,34
2025-10-22,,36,36
2025-10-23,,38,38
2025-10-24,,39,39
2025-10-25,,41,41
2025-10-26,,43,43
2025-10-27,,44,44
2025-10-28,,46,46
2025-10-29,,48,48
2025-10-30,,29,33
2025-10-31,,30,29
2025-11-01,,31,31
2025-11-02,,32,32
2025-11-03,,33,33
2025-11-04,,35,34
2025-11-05,,36,36
2025-11-06,,36,36
2025-11-07,,36,36
2025-11-08,,36,36
2025-11-09,,36,35
2025-11-10,,36,35
2025-11-11,,36,35
2025-11-12,,35,35
2025-11-13,,35,35
2025-11-14,,35,35
2025-11-15,,35,35
2025-11-16,,35,35
2025-11-17,,35,35
2025-11-18,,35,35
