Date,LOT,Predicted_Pickups,Predicted_Returns
2024-01-10,0,-406,3
2024-01-19,0,-384,4
2024-01-24,0,-372,2
2024-01-25,0,-370,5
2024-02-13,0,-327,3
2024-02-27,0,-298,1
2024-03-01,0,-292,1
2024-03-02,0,-289,1
2024-03-08,0,-278,1
2024-03-13,0,-268,3
2024-03-28,0,-240,1
2024-04-15,0,-209,2
2024-04-26,0,-192,2
2024-05-22,0,-154,2
2024-10-23,0,-18,1
2024-10-24,0,-18,3
2024-12-28,0,3,1
2025-02-13,0,9,12
2025-02-18,0,10,7
2025-02-25,0,10,39
2025-03-25,0,11,34
2025-03-14,0,11,20
2025-04-18,0,10,30
2025-04-29,0,10,38
2025-04-24,0,10,35
2025-06-30,0,6,3
2025-07-03,0,5,1
2025-07-29,0,4,1
