,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,1,1
2025-10-03,,2,3
2025-10-04,,2,2
2025-10-05,,2,2
2025-10-06,,3,2
2025-10-07,,3,3
2025-10-08,,3,3
2025-10-09,,4,3
2025-10-10,,4,4
2025-10-11,,4,4
2025-10-12,,5,5
2025-10-13,,5,5
2025-10-14,,5,5
2025-10-15,,6,6
2025-10-16,,6,6
2025-10-17,,7,7
2025-10-18,,7,7
2025-10-19,,8,7
2025-10-20,,8,8
2025-10-21,,9,8
2025-10-22,,9,9
2025-10-23,,10,9
2025-10-24,,10,10
2025-10-25,,11,10
2025-10-26,,11,11
2025-10-27,,12,12
2025-10-28,,12,12
2025-10-29,,12,12
2025-10-30,,12,12
2025-10-31,,12,12
2025-11-01,,13,12
2025-11-02,,13,13
2025-11-03,,13,13
2025-11-04,,13,13
2025-11-05,,13,13
2025-11-06,,13,13
2025-11-07,,14,13
2025-11-08,,14,13
2025-11-09,,14,14
