,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,3,7
2025-10-03,,6,4
2025-10-04,,6,6
2025-10-05,,6,6
2025-10-06,,6,6
2025-10-07,,6,6
2025-10-08,,7,6
2025-10-09,,7,7
2025-10-10,,7,7
2025-10-11,,7,7
2025-10-12,,7,7
2025-10-13,,7,7
2025-10-14,,8,7
2025-10-15,,8,8
2025-10-16,,8,8
2025-10-17,,8,8
2025-10-18,,9,9
2025-10-19,,9,9
2025-10-20,,9,9
2025-10-21,,10,10
2025-10-22,,10,10
2025-10-23,,10,10
2025-10-24,,11,11
2025-10-25,,11,11
2025-10-26,,12,11
2025-10-27,,12,12
2025-10-28,,12,12
2025-10-29,,13,12
2025-10-30,,13,13
2025-10-31,,13,13
2025-11-01,,13,13
2025-11-02,,13,13
2025-11-03,,14,14
2025-11-04,,14,14
2025-11-05,,14,14
2025-11-06,,14,14
2025-11-07,,15,15
2025-11-08,,15,15
2025-11-09,,15,15
2025-11-10,,15,15
2025-11-19,,10,9
2025-11-20,,9,9
2025-11-21,,8,8
2025-11-22,,25,15
2025-11-23,,24,24
2025-11-24,,24,24
2025-11-25,,23,23
2025-11-26,,23,23
2025-11-27,,23,22
2025-11-28,,22,22
2025-11-29,,22,22
2025-11-30,,22,21
2025-12-01,,21,21
2025-12-02,,21,21
2025-12-03,,21,21
2025-12-04,,21,21
2025-12-05,,21,21
2025-12-06,,21,21
2025-12-07,,21,21
2025-12-08,,21,21
2025-12-09,,21,21
2025-12-10,,21,22
2025-12-11,,22,22
2025-12-12,,22,22
2025-12-13,,22,22
2025-12-14,,22,22
2025-12-15,,22,22
2025-12-16,,22,23
2025-12-17,,23,23
2025-12-18,,23,23
2025-12-19,,23,23
2025-12-20,,23,23
2025-12-21,,23,23
2025-12-22,,23,24
2025-12-23,,24,24
