,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,1,1
2025-10-03,,2,3
2025-10-04,,3,2
2025-10-05,,3,3
2025-10-06,,3,3
2025-10-07,,3,3
2025-10-08,,3,3
2025-10-09,,3,3
2025-10-10,,3,3
2025-10-11,,3,3
2025-10-12,,3,3
2025-10-13,,3,3
2025-10-14,,3,3
2025-10-15,,3,3
2025-10-16,,3,3
2025-10-17,,3,3
2025-10-18,,3,3
2025-11-12,,2,2
2025-11-13,,3,3
2025-11-14,,3,3
2025-11-15,,4,3
2025-11-16,,4,4
2025-11-17,,5,4
2025-11-18,,5,5
2025-11-19,,6,6
2025-11-20,,6,6
2025-11-21,,7,7
2025-11-22,,8,8
2025-11-23,,9,9
2025-11-24,,10,9
2025-11-25,,11,10
2025-11-26,,12,11
2025-11-27,,13,12
2025-11-28,,14,13
2025-11-29,,15,14
2025-11-30,,16,16
2025-12-01,,17,17
2025-12-02,,19,18
2025-12-03,,20,19
2025-12-04,,21,21
2025-12-05,,23,22
2025-12-06,,24,24
2025-12-07,,26,25
2025-12-08,,27,27
2025-12-09,,29,28
2025-12-10,,31,30
2025-12-11,,31,31
2025-12-12,,32,31
2025-12-13,,33,32
2025-12-14,,33,33
2025-12-15,,34,34
2025-12-16,,35,34
2025-12-17,,35,35
2025-12-18,,36,36
2025-12-19,,37,36
2025-12-20,,38,37
2025-12-21,,38,38
2025-12-22,,39,38
2025-12-23,,40,39
