Date,LOT,Predicted_Pickups,Predicted_Returns
2024-12-19,0,191,5
2024-12-21,0,185,2
2025-01-13,0,123,2
2025-01-16,0,116,2
2024-10-07,0,527,1
2024-10-08,0,521,4
2024-10-09,0,515,3
2024-10-10,0,508,1
2024-10-11,0,502,1
2024-10-14,0,485,5
2024-10-16,0,473,1
2024-10-17,0,467,1
2024-10-18,0,461,1
2024-10-22,0,439,1
2024-10-29,0,402,4
2024-11-05,0,366,1
2024-11-06,0,361,2
2024-11-08,0,352,1
2024-11-12,0,333,2
2024-11-18,0,306,2
2024-11-19,0,302,3
2024-11-20,0,298,4
2024-11-27,0,269,1
2024-12-03,0,246,1
2024-12-05,0,238,3
2024-12-23,0,178,1
2025-01-28,0,91,1
2025-01-30,0,88,2
2025-01-31,0,86,97
2025-02-12,0,66,37
2025-03-03,0,43,32
2025-03-17,0,30,28
2025-03-18,0,30,27
2025-03-28,0,23,68
2025-04-18,0,16,50
2025-05-07,0,14,20
2025-05-08,0,14,31
2025-05-09,0,14,41
2025-05-14,0,15,43
2025-05-12,0,15,39
2025-05-05,0,14,4
2025-05-23,0,16,61
2025-05-21,0,16,27
2025-06-13,0,21,21
2025-06-23,0,24,3
2025-06-27,0,25,6
2025-06-30,0,26,11
2025-06-28,0,25,3
2025-07-02,0,27,8
2025-07-03,0,27,25
2025-07-07,0,28,20
2025-07-15,0,31,58
2025-07-14,0,31,17
2025-07-18,0,32,18
2025-07-31,0,35,103
2025-07-30,0,35,9
2025-07-29,0,35,5
2025-08-04,0,36,37
2025-08-08,0,37,52
2025-08-06,0,37,39
2025-08-15,0,38,47
2025-08-18,0,39,49
2025-08-21,0,39,64
2025-08-22,0,39,129
2025-08-13,0,38,36
2025-08-28,0,40,60
2025-07-11,0,30,2
