Date,Predicted_Pickups,Predicted_Returns
2024-12-19,4,5
2024-12-21,7,2
2025-01-13,19,2
2025-01-16,5,2
2024-10-07,3,1
2024-10-08,2,4
2024-10-09,3,3
2024-10-10,5,1
2024-10-11,5,1
2024-10-14,3,5
2024-10-16,3,1
2024-10-17,4,1
2024-10-18,5,1
2024-10-22,4,1
2024-10-29,3,4
2024-11-05,3,1
2024-11-06,2,2
2024-11-08,2,1
2024-11-12,2,2
2024-11-18,3,2
2024-11-19,2,3
2024-11-20,2,4
2024-11-27,2,1
2024-12-03,3,1
2024-12-05,4,3
2024-12-23,5,1
2025-01-28,2,1
2025-01-30,12,2
2025-01-31,9,97
2025-02-12,59,37
2025-03-03,76,32
2025-03-17,89,28
2025-03-18,117,27
2025-03-28,153,68
2025-04-18,143,50
2025-05-07,114,20
2025-05-08,145,31
2025-05-09,171,41
2025-05-14,288,43
2025-05-12,200,39
2025-05-05,68,4
2025-05-23,223,61
2025-05-21,205,27
2025-06-13,80,21
2025-06-23,54,3
2025-06-27,61,6
2025-06-30,61,10
2025-06-28,63,3
2025-07-02,57,5
2025-07-03,56,9
2025-07-07,43,1
