,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,2,1
2025-10-03,,7,7
2025-10-04,,11,10
2025-10-05,,14,14
2025-10-06,,18,18
2025-10-07,,22,22
2025-10-08,,27,27
2025-10-09,,29,28
2025-10-10,,29,29
2025-10-11,,30,30
2025-10-12,,31,30
2025-10-13,,31,31
2025-10-14,,32,32
2025-10-15,,33,33
2025-10-16,,34,33
2025-10-17,,35,34
2025-10-18,,35,35
2025-10-19,,36,36
2025-10-20,,37,37
2025-10-21,,38,37
2025-10-22,,39,38
2025-10-23,,40,39
2025-10-24,,41,40
2025-10-25,,42,41
2025-10-26,,43,42
2025-10-27,,44,43
2025-10-28,,45,44
2025-10-29,,46,45
2025-10-30,,47,46
2025-10-31,,48,48
2025-11-01,,49,49
2025-11-02,,51,50
2025-11-03,,52,51
2025-11-04,,53,52
2025-11-05,,53,53
2025-11-06,,54,53
2025-11-07,,54,53
2025-11-08,,54,53
2025-11-09,,55,54
2025-11-10,,55,54
2025-11-11,,55,54
2025-11-12,,55,54
2025-11-13,,54,53
2025-11-14,,53,52
2025-11-15,,52,51
2025-11-16,,51,49
2025-11-17,,47,47
2025-11-18,,42,43
2025-11-19,,38,39
2025-11-20,,33,34
2025-11-21,,29,31
2025-11-22,,25,27
2025-11-23,,20,23
2025-11-24,,16,18
2025-11-25,,11,14
2025-11-26,,7,9
2025-11-27,,8,10
2025-11-28,,9,11
2025-11-29,,10,12
2025-11-30,,11,13
2025-12-01,,12,14
2025-12-02,,13,15
2025-12-03,,14,16
2025-12-04,,15,17
2025-12-05,,16,18
2025-12-06,,17,20
2025-12-07,,18,21
2025-12-08,,19,22
2025-12-09,,20,23
