,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,1,1
2025-10-03,,2,2
2025-10-04,,2,2
2025-10-05,,2,2
2025-10-06,,2,2
2025-10-07,,2,2
2025-10-08,,2,2
2025-10-09,,3,2
2025-10-10,,3,3
2025-10-11,,3,3
2025-10-12,,3,3
2025-10-13,,3,3
2025-10-14,,3,3
2025-10-15,,3,3
2025-10-16,,4,4
2025-10-17,,4,4
2025-10-18,,4,4
2025-10-19,,4,4
2025-10-20,,4,4
2025-10-21,,5,5
2025-10-22,,5,5
2025-10-23,,5,5
2025-10-24,,5,5
2025-10-25,,6,6
2025-10-26,,6,6
2025-10-27,,6,6
2025-10-28,,7,7
2025-10-29,,7,7
2025-10-30,,7,7
2025-10-31,,8,8
2025-11-01,,8,8
2025-11-02,,8,8
2025-11-03,,9,9
2025-11-04,,9,9
2025-11-05,,9,9
2025-11-06,,10,10
2025-11-07,,10,10
2025-11-08,,11,11
2025-11-09,,11,11
2025-11-10,,12,11
2025-11-11,,12,12
2025-11-12,,13,12
2025-11-13,,13,13
2025-11-14,,13,13
2025-11-15,,14,14
2025-11-16,,15,14
2025-11-17,,15,15
2025-11-18,,16,15
2025-11-19,,16,16
2025-11-20,,17,16
2025-11-21,,17,17
2025-11-22,,18,18
2025-11-23,,18,18
2025-11-24,,19,19
2025-11-25,,20,19
2025-11-26,,20,20
2025-11-27,,21,21
2025-11-28,,21,21
2025-11-29,,21,21
2025-11-30,,22,22
2025-12-01,,22,22
2025-12-02,,22,22
2025-12-03,,23,22
2025-12-04,,23,23
2025-12-05,,23,23
2025-12-06,,23,23
2025-12-07,,24,24
2025-12-08,,24,24
2025-12-09,,24,24
2025-12-10,,25,24
