,Date,Predicted_Pickups,Predicted_Returns
2025-10-02,,4,4
2025-10-03,,6,6
2025-10-04,,8,7
2025-10-05,,10,9
2025-10-06,,12,11
2025-10-07,,14,13
2025-10-08,,16,16
2025-10-09,,6,6
2025-10-10,,7,6
2025-10-11,,7,7
2025-10-12,,8,7
2025-10-13,,9,8
2025-10-14,,9,9
2025-10-15,,9,9
2025-10-16,,9,9
2025-10-17,,9,9
2025-10-18,,9,9
2025-10-19,,10,10
2025-10-20,,10,10
2025-10-21,,10,10
2025-10-22,,10,10
2025-10-23,,10,10
2025-10-24,,11,11
2025-10-25,,11,11
2025-10-26,,11,11
2025-10-27,,11,11
2025-11-06,,13,12
2025-11-07,,13,13
2025-11-08,,12,13
2025-11-09,,12,12
2025-11-10,,12,12
2025-11-11,,12,12
2025-11-12,,12,12
2025-11-13,,27,16
2025-11-14,,26,26
2025-11-15,,26,26
2025-11-16,,25,25
2025-11-17,,25,25
2025-11-18,,24,24
2025-11-19,,24,24
2025-11-20,,24,24
2025-11-21,,24,24
2025-11-22,,23,23
2025-11-23,,23,23
2025-11-24,,23,23
2025-11-25,,23,23
2025-11-26,,23,23
2025-11-27,,23,23
2025-11-28,,23,23
2025-11-29,,23,23
2025-11-30,,23,23
2025-12-01,,23,23
2025-12-02,,23,23
2025-12-03,,23,23
2025-12-04,,23,23
2025-12-05,,24,23
2025-12-06,,24,24
2025-12-07,,24,24
2025-12-08,,24,24
2025-12-09,,25,25
2025-12-10,,25,25
2025-12-11,,25,25
2025-12-12,,26,26
2025-12-13,,26,26
2025-12-14,,26,26
2025-12-15,,27,26
2025-12-16,,27,27
2025-12-17,,27,27
2025-12-18,,28,27
2025-12-19,,28,28
2025-12-20,,28,28
2025-12-21,,29,28
2025-12-22,,29,29
2025-12-23,,29,29
