Date,Total_PUs,Total_Returns
2025-09-04,16216,9825
,0,0
2025-09-29,23089,8573
2025-07-25,10282,1647
2025-08-05,6375,2636
2025-06-02,1016,222
2025-09-18,22768,7921
2025-04-09,405,193
2025-09-24,17417,6970
2025-02-13,375,285
2025-07-17,4700,670
2025-07-12,1174,188
2025-09-03,12873,9010
2025-04-17,453,220
2025-08-27,9301,5968
2025-05-07,842,509
2025-05-14,415,285
2025-07-30,6068,1473
2024-12-28,93,0
2025-09-05,20784,5202
2025-09-02,9871,10009
2025-08-09,1295,221
2025-09-06,942,3846
2025-04-21,502,192
2025-06-11,916,277
2025-08-26,9166,5877
2025-07-15,3912,622
2025-09-23,15220,10438
2025-08-20,10381,2697
2025-09-11,22320,10682
2025-07-01,2484,221
2025-05-09,527,248
2025-07-02,1164,181
2025-07-09,1902,299
2025-08-30,2037,617
2025-08-08,5485,1800
2025-07-14,4689,395
2025-07-29,4440,2181
2025-05-19,257,282
2025-06-28,79,63
2025-08-13,6523,4499
2025-06-13,257,138
2025-07-11,3830,465
2025-05-27,545,359
2025-06-26,642,281
2025-08-23,936,1065
2025-09-22,36980,5637
2025-07-04,47,36
2025-08-28,9020,6630
2025-07-07,4237,186
2025-03-28,1157,192
2025-08-15,7464,2585
2025-09-30,17736,9102
2025-07-08,3306,273
2025-05-20,788,610
2025-06-30,1728,314
2025-05-23,667,192
2025-08-25,10518,5188
2025-06-16,351,199
2025-09-08,15052,7708
2025-05-28,861,337
2025-07-21,8473,1062
2025-09-19,20021,7047
2025-06-27,539,143
2024-09-16,61,0
2025-06-12,1026,128
2025-08-29,23688,3009
2025-09-13,3152,2038
2025-06-20,1429,209
2025-06-04,1339,159
2025-07-24,4338,1950
2025-09-26,14122,7872
2025-10-02,8588,3216
2025-06-19,1109,61
2025-07-28,6501,2012
2025-04-26,134,130
2025-03-04,769,201
2025-09-17,15565,9404
2025-07-18,2591,544
2025-08-14,13017,3997
2025-06-10,330,204
2025-09-27,13892,1622
2025-06-23,1094,261
2025-09-20,3300,801
2025-09-15,20164,8248
2025-07-10,1178,174
2025-06-18,915,207
2025-08-04,6924,2276
2025-09-10,10663,6739
2025-06-09,220,229
2025-01-30,656,265
2025-06-17,307,219
2025-07-16,2163,891
2025-09-12,14547,6937
2025-08-11,5664,4514
2025-10-01,12856,7755
2025-06-25,202,394
2025-07-26,624,267
2025-09-25,15510,11688
2025-08-22,21391,3965
2025-08-01,7096,2227
2025-09-16,13173,7924
2025-07-31,6123,2475
2025-07-22,6601,1389
2025-07-23,2725,1806
2025-09-09,8134,6780
2025-08-07,6015,1353
2025-04-29,601,152
2025-07-03,1693,331
2025-08-21,12252,4809
2025-07-19,1026,296
2025-06-24,616,339
2025-08-12,13339,4998
2025-08-16,1915,1003
2025-08-19,17389,5123
2025-08-02,382,457
2025-08-18,10807,3788
2025-04-07,721,207
2025-08-06,3980,3386
2025-08-24,0,245
2025-04-25,624,232
2025-01-21,286,107
2025-03-06,274,312
2024-11-27,33,0
2024-05-01,8,0
2024-11-12,21,0
2024-10-18,84,0
2025-02-08,49,8
2024-09-25,41,0
2025-02-27,269,386
2025-02-19,291,242
2025-05-05,131,253
2025-02-11,349,223
2024-10-09,66,0
2025-02-26,265,232
2024-12-17,6,0
2025-03-10,123,307
2024-11-20,45,0
2025-04-22,157,202
2025-03-12,227,144
2025-04-02,216,287
2025-04-03,282,149
2024-11-04,27,0
2024-09-17,8,0
2024-07-13,5,0
2024-09-30,3,0
2025-03-01,88,44
2025-01-31,277,114
2024-09-07,8,0
2024-07-31,3,0
2025-04-04,165,195
2024-10-24,47,0
2025-05-24,41,72
2025-01-02,183,5
2025-02-02,0,1
2025-02-07,313,126
2024-09-06,15,0
2025-04-15,474,167
2024-10-17,51,0
2024-08-08,5,0
2024-12-05,43,0
2024-11-25,7,0
2025-06-03,222,174
2024-11-02,2,0
2024-09-14,27,0
2025-02-04,229,312
2025-02-10,346,95
2024-09-28,6,0
2024-08-02,6,0
2024-12-02,18,0
2025-02-05,283,251
2024-07-12,2,0
2025-01-16,265,53
2024-07-19,7,0
2024-09-27,33,0
2024-11-08,24,0
2024-07-15,5,0
2025-03-20,143,278
2024-07-01,6,0
2025-05-08,165,467
2025-03-26,167,192
2025-05-06,168,452
2024-10-08,68,0
2024-11-13,62,0
2025-03-08,6,274
2024-09-09,4,0
2024-10-15,58,0
2024-10-02,75,0
2025-05-10,87,36
2024-10-11,46,0
2024-11-16,9,0
2024-10-10,17,0
2025-04-30,294,230
2024-10-28,36,0
2024-08-10,28,0
2024-07-25,5,0
2024-09-24,32,0
2024-10-12,4,0
2024-12-04,29,0
2025-01-12,0,98
2024-08-13,9,0
2025-01-06,217,10
2024-10-22,56,0
2025-06-21,29,195
2025-05-21,315,274
2025-03-18,285,294
2025-04-05,41,74
2024-09-11,28,0
2025-01-07,241,14
2024-10-07,14,0
2024-12-16,15,0
2025-03-19,173,292
2024-08-29,2,0
2025-03-05,189,192
2024-09-21,7,0
2024-12-30,28,0
2024-11-19,35,0
2024-08-14,7,0
2024-06-11,10,0
2025-01-19,0,185
2024-06-18,10,0
2024-04-23,4,0
2025-02-20,194,269
2025-03-24,178,212
2024-09-19,14,0
2025-05-29,252,382
2025-03-25,214,312
2024-12-23,23,0
2024-10-25,39,0
2024-06-12,5,0
2025-03-03,318,185
2025-01-14,540,42
2024-10-03,22,0
2024-10-31,51,0
2024-09-18,9,0
2025-03-07,360,360
2024-11-01,28,0
2024-05-14,2,0
2024-11-14,3,0
2025-04-23,254,256
2025-03-11,160,119
2025-01-23,329,144
2024-10-21,35,0
2024-12-18,11,0
2024-11-07,36,0
2025-02-15,45,103
2024-12-26,23,0
