pickup,BWIMRS,CHIIIC,HOUCMC,LAXAIM,LAXAPM,LAXBAC,LAXCAN,LAXCSN,LAXDMC,LAXEMS,LAXEVE,LAXTAY,LAXTPC,LAXTTI,LAXWBC,LAXYTI,LGBITS,LGBLPE,LGBPST,LGBSSA,LGBSSJ,LT03JA,NITNF,OAKCGI,OAKSTE,OAKTPC,ORFMRS,PCT,SAVCMP,SBTAMO,SEASPK,TACTHG,WBCT
CHIIIC,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUCMC,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAXAIM,0,17,0,392953,3146,48,151,503308,0,982,73,11,69,659,359,391,452,25,2347,78,28,54,0,0,41,0,0,0,0,0,0,0,0
LAXBAC,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAXCSN,1,0,0,495034,5743,35,209,916582,2,1662,510,0,386,877,331,384,704,76,4590,502,273,0,1,2,99,0,0,1,26,1,0,0,3
LAXICE,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT03JA,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAKSTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,12,0,0,0,0,0,0,0
ORFMRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
SAVCMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0
SBTAMO,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEASPK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,4,0
TACTHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,155,0
WBCT,0,0,0,49,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
